Cell_ID,Soil_ID,Mgmt_Field_ID,Reach_ID,Reach_Location_Code,Cell_Area,Time_of_Conc,Avg_Elevation,RCN_Calib_ID,Avg_Land_Slope,Aspect,RUSLE_ls_Fctr,RCN_Rtn_Calib_Fctr,Secondary_Climate_File_ID,Sheet_Flow_Mannings_n,Geology_ID,Conc_Flow_Slope,Conc_Flow_Length,Hydraulic_Geom_ID,Conc_Flow_Hydraulic_Depth,Conc_Flow_Mannings_n,Sheet_Flow_Slope,Sheet_Flow_Length,Shallow_Conc_Flow_Slope,Shallow_Conc_Flow_Length,Delivery_Ratio,Constant_USLE_C_Fctr,Constant_USLE_P_Fctr,All_OC_Calib_Fctr,All_N_Calib_Fctr,All_P_Calib_Fctr,Sheet_and_Rill_Erosion_Calib_Fctr,Gullies_Erosion_Calib_Fctr,Input_Units_Code
403,,,40,1,32.8941,,104.03,,0.06185,321.68,0.515,,,,,0.02094,681.93,,,,0.04541,50.00,0.03893,50.00,,,,,,,,,1
412,,,41,1,24.4620,,96.40,,0.06798,220.78,0.579,,,,,0.02402,635.54,,,,0.04036,50.00,0.02933,50.00,,,,,,,,,1
413,,,41,1,23.8914,,97.80,,0.07387,22.08,0.618,,,,,0.02151,576.45,,,,0.02767,50.00,0.01633,50.00,,,,,,,,,1
422,,,42,1,21.8790,,100.38,,0.05308,191.97,0.445,,,,,0.01921,692.26,,,,0.01969,50.00,0.02631,50.00,,,,,,,,,1
423,,,42,1,8.4006,,98.03,,0.06216,338.87,0.528,,,,,0.02440,503.26,,,,0.04125,50.00,0.05908,50.00,,,,,,,,,1
432,,,43,1,74.5254,,106.70,,0.07259,175.97,0.603,,,,,0.02554,873.95,,,,0.04236,50.00,0.02942,50.00,,,,,,,,,1
433,,,43,1,54.6300,,107.78,,0.09782,324.58,0.831,,,,,0.03385,609.06,,,,0.02768,50.00,0.03002,50.00,,,,,,,,,1
441,,,44,0,17.6841,,113.84,,0.10167,178.47,0.845,,,,,0.02591,729.54,,,,0.03788,50.00,0.03615,50.00,,,,,,,,,1
442,,,44,1,0.2592,,103.69,,0.15443,133.43,1.232,,,,,0.00001,0.00,,,,0.05500,50.00,0.17249,11.31,,,,,,,,,1
443,,,44,1,0.4212,,104.35,,0.09773,256.35,0.796,,,,,0.21074,13.76,,,,0.04753,50.00,0.01847,50.00,,,,,,,,,1
452,,,45,1,15.2208,,110.68,,0.06937,218.73,0.574,,,,,0.03256,500.24,,,,0.04768,50.00,0.04953,50.00,,,,,,,,,1
453,,,45,1,9.1098,,110.77,,0.08570,17.03,0.703,,,,,0.03229,564.91,,,,0.02002,50.00,0.02318,50.00,,,,,,,,,1
461,,,46,0,15.5457,,120.52,,0.06299,216.97,0.522,,,,,0.01641,594.91,,,,0.03553,50.00,0.04122,50.00,,,,,,,,,1
462,,,46,1,33.2811,,116.03,,0.07360,206.29,0.599,,,,,0.01853,608.90,,,,0.04519,50.00,0.04119,50.00,,,,,,,,,1
463,,,46,1,32.1075,,116.71,,0.07515,351.50,0.623,,,,,0.02997,575.15,,,,0.02935,50.00,0.03828,50.00,,,,,,,,,1
471,,,47,0,19.0350,,118.22,,0.06113,12.55,0.512,,,,,0.02132,523.73,,,,0.03277,50.00,0.05595,50.00,,,,,,,,,1
472,,,47,1,11.0871,,115.08,,0.07094,291.86,0.578,,,,,0.02634,439.32,,,,0.03134,50.00,0.05717,50.00,,,,,,,,,1
473,,,47,1,8.8488,,114.41,,0.10011,74.28,0.819,,,,,0.03010,401.44,,,,0.03553,50.00,0.01485,50.00,,,,,,,,,1
482,,,48,1,1.3959,,96.86,,0.09042,255.10,0.674,,,,,0.03631,106.57,,,,0.08720,50.00,0.04531,50.00,,,,,,,,,1
483,,,48,1,5.7879,,102.95,,0.12093,39.70,1.022,,,,,0.05880,198.96,,,,0.02788,50.00,0.07615,50.00,,,,,,,,,1
492,,,49,1,7.5105,,103.96,,0.08258,179.57,0.685,,,,,0.04878,256.67,,,,0.01568,50.00,0.03636,50.00,,,,,,,,,1
493,,,49,1,4.0014,,102.34,,0.10688,327.50,0.920,,,,,0.02951,163.26,,,,0.10013,50.00,0.07787,50.00,,,,,,,,,1
501,,,50,0,17.1540,,117.74,,0.08355,246.31,0.717,,,,,0.02655,517.00,,,,0.01800,50.00,0.02252,50.00,,,,,,,,,1
502,,,50,1,14.5818,,109.87,,0.11275,198.59,0.915,,,,,0.03452,483.79,,,,0.06967,50.00,0.02637,50.00,,,,,,,,,1
503,,,50,1,7.5969,,110.79,,0.09823,339.11,0.824,,,,,0.03552,222.13,,,,0.04543,50.00,0.06475,50.00,,,,,,,,,1
511,,,51,0,15.9282,,113.33,,0.07134,294.32,0.618,,,,,0.02183,593.56,,,,0.03601,50.00,0.03085,50.00,,,,,,,,,1
512,,,51,1,2.1564,,106.03,,0.11464,253.39,0.971,,,,,0.05986,229.48,,,,0.03226,50.00,0.03601,50.00,,,,,,,,,1
513,,,51,1,1.5039,,106.35,,0.13708,17.35,1.232,,,,,0.06522,40.87,,,,0.03968,50.00,0.12601,50.00,,,,,,,,,1
521,,,52,0,15.0246,,108.60,,0.06563,300.89,0.564,,,,,0.02342,662.60,,,,0.01484,50.00,0.02084,50.00,,,,,,,,,1
522,,,52,1,6.9615,,105.37,,0.08041,271.28,0.664,,,,,0.03525,406.60,,,,0.04273,50.00,0.03838,50.00,,,,,,,,,1
523,,,52,1,3.3849,,104.27,,0.09014,65.66,0.755,,,,,0.03830,173.70,,,,0.04237,50.00,0.03403,50.00,,,,,,,,,1
531,,,53,0,15.0084,,105.78,,0.05096,258.50,0.441,,,,,0.00979,796.50,,,,0.01800,50.00,0.01200,50.00,,,,,,,,,1
532,,,53,1,5.1345,,100.62,,0.06764,257.83,0.557,,,,,0.03995,193.57,,,,0.03600,50.00,0.05433,50.00,,,,,,,,,1
533,,,53,1,10.3968,,100.37,,0.07059,29.21,0.590,,,,,0.01855,395.63,,,,0.03251,50.00,0.05671,50.00,,,,,,,,,1
542,,,54,1,20.4192,,92.31,,0.07877,201.41,0.655,,,,,0.03966,365.03,,,,0.01400,50.00,0.04942,50.00,,,,,,,,,1
543,,,54,1,9.2259,,91.46,,0.09527,0.51,0.789,,,,,0.03212,320.63,,,,0.04583,50.00,0.12017,50.00,,,,,,,,,1
551,,,55,0,15.0345,,103.86,,0.05385,282.58,0.459,,,,,0.01747,515.63,,,,0.03153,50.00,0.03850,50.00,,,,,,,,,1
552,,,55,1,51.4656,,99.80,,0.06824,210.92,0.574,,,,,0.02202,718.23,,,,0.02100,50.00,0.03869,50.00,,,,,,,,,1
553,,,55,1,6.1866,,93.04,,0.04764,328.37,0.411,,,,,0.00819,244.18,,,,0.04484,50.00,0.00716,50.00,,,,,,,,,1
562,,,56,1,0.2115,,88.19,,0.15476,226.35,1.136,,,,,0.00001,0.00,,,,0.08710,29.85,0.00001,0.00,,,,,,,,,1
563,,,56,1,2.0178,,94.31,,0.10456,18.96,0.904,,,,,0.05997,168.32,,,,0.04003,50.00,0.05544,50.00,,,,,,,,,1
571,,,57,0,19.6893,,117.50,,0.06864,213.98,0.573,,,,,0.01533,665.37,,,,0.02768,50.00,0.03232,50.00,,,,,,,,,1
572,,,57,1,60.8247,,104.89,,0.06380,193.73,0.520,,,,,0.03024,595.34,,,,0.01202,50.00,0.00599,50.00,,,,,,,,,1
573,,,57,1,109.7514,,103.91,,0.06732,336.63,0.562,,,,,0.01399,782.19,,,,0.02000,50.00,0.00910,50.00,,,,,,,,,1
581,,,58,0,15.0453,,103.00,,0.08321,27.62,0.703,,,,,0.01602,727.64,,,,0.03000,50.00,0.02687,50.00,,,,,,,,,1
582,,,58,1,14.3829,,100.48,,0.07845,321.88,0.676,,,,,0.01907,765.82,,,,0.03602,50.00,0.01598,50.00,,,,,,,,,1
583,,,58,1,3.9474,,96.84,,0.09923,94.89,0.857,,,,,0.05728,133.05,,,,0.04307,50.00,0.05452,50.00,,,,,,,,,1
591,,,59,0,17.2935,,100.43,,0.08143,354.56,0.710,,,,,0.02341,646.44,,,,0.01817,50.00,0.03317,50.00,,,,,,,,,1
592,,,59,1,7.7157,,94.82,,0.07436,273.06,0.637,,,,,0.02953,384.27,,,,0.05503,50.00,0.07301,50.00,,,,,,,,,1
593,,,59,1,24.1803,,91.04,,0.07166,335.14,0.627,,,,,0.02777,590.69,,,,0.03708,50.00,0.02291,50.00,,,,,,,,,1
602,,,60,1,1.3122,,81.54,,0.08754,258.78,0.627,,,,,0.01734,92.29,,,,0.02650,50.00,0.00950,50.00,,,,,,,,,1
603,,,60,1,5.5071,,89.39,,0.13672,3.57,1.148,,,,,0.04891,289.37,,,,0.01802,50.00,0.03968,50.00,,,,,,,,,1
612,,,61,1,17.3772,,95.27,,0.08889,246.58,0.753,,,,,0.03696,449.76,,,,0.02200,50.00,0.03555,50.00,,,,,,,,,1
613,,,61,1,21.8988,,96.80,,0.07806,37.39,0.660,,,,,0.02344,741.20,,,,0.01557,50.00,0.00447,50.00,,,,,,,,,1
621,,,62,0,17.2449,,102.29,,0.04927,243.80,0.416,,,,,0.01612,540.80,,,,0.01800,50.00,0.01804,50.00,,,,,,,,,1
622,,,62,1,2.6784,,97.76,,0.06266,171.62,0.519,,,,,0.04861,92.79,,,,0.02119,50.00,0.02659,50.00,,,,,,,,,1
623,,,62,1,1.6011,,95.82,,0.09584,304.58,0.822,,,,,0.00001,76.26,,,,0.04197,50.00,0.00001,50.00,,,,,,,,,1
632,,,63,1,0.0072,,93.10,,0.00001,1.73,0.032,,,,,0.00001,0.00,,,,0.00001,10.61,0.00001,0.00,,,,,,,,,1
633,,,63,1,0.5742,,95.55,,0.09323,63.25,0.770,,,,,0.00001,98.61,,,,0.06212,50.00,0.08386,50.00,,,,,,,,,1
641,,,64,0,21.6486,,103.54,,0.05059,259.38,0.424,,,,,0.01540,659.33,,,,0.00943,50.00,0.01857,50.00,,,,,,,,,1
642,,,64,1,11.8701,,101.35,,0.06527,226.28,0.542,,,,,0.02293,514.83,,,,0.02200,50.00,0.00993,50.00,,,,,,,,,1
