saverest,areasymbol,areaname,musym,hydgrp,kwfact,albedodry_r,restrictiondepthr,partdensity,compname,texdesc,hzdepb_r,dbovendry_r,claytotal_r,silttotal_r,sandtotal_r,fragvol,sandvf_r,caco3_r,ksat_r,wthirdbar_r,wfifteenbar_r,om_r,ph1to1h2o_r,comppct_r
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",Blg2A1,C/D,.37,0.37,132,2.65,Haskins,Clay loam,200,1.95,33,39,28,6,8,24,0.74,27,23.4,0.25,7.8,5
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",BoB2,D,.43,0.29,76,2.65,Blount,Silt loam,15,1.5,24,54,22,5,6,0,9.17,30,17,2,6.4,85
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",BoB2,D,.37,0.3,91,2.65,Glynwood,Silt loam,23,1.58,24,54,22,3,6,0,2.82,29,15,1.5,6.2,9
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",BoB2,C/D,.24,0.17,>200,2.65,Pewamo,Silty clay loam,28,1.66,35,50,15,2,5,0,9.17,35,25,5,6.4,6
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",BoB2,D,.32,0.29,76,2.65,Blount,Silty clay,61,1.8,42,42,16,4,5,0,0.92,30,22,0.5,6.5,85
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",BoB2,D,.28,0.3,91,2.65,Glynwood,Clay,74,1.82,42,36,22,5,7,0,0.92,32,23,0.75,6.2,9
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",BoB2,D,.37,0.29,76,2.65,Blount,Clay loam,76,2,35,40,25,6,7,12,0.92,25,23,0.25,7.6,85
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",BoB2,C/D,.28,0.17,>200,2.65,Pewamo,Silty clay,86,1.83,42,42,16,4,4,0,2.82,31,24,1.25,6.4,6
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",BoB2,D,.32,0.3,91,2.65,Glynwood,Clay loam,91,2.02,36,40,24,8,7,12,0.92,27,26,0.5,7.3,9
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",BoB2,C/D,.24,0.17,>200,2.65,Pewamo,Clay,145,1.83,42,38,20,4,5,0,2.82,32,24,1.25,7,6
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",BoB2,D,.37,0.29,76,2.65,Blount,Clay loam,200,2.05,33,45,22,7,6,24,0.74,22,20,0.25,8,85
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",BoB2,D,.32,0.3,91,2.65,Glynwood,Clay loam,200,2.09,36,39,25,8,7,26,0.74,24,21,0.25,7.9,9
