Cell_ID,Receiving_Reach_ID,Receiving_Reach_Location_[0=up;1=dn],Drainage_Area_[ha],Average_Elevation_[m],Average_Aspect_[deg],Land_Slope_[m/m],Sheet_Flow_Slope_[m/m],Sheet_Flow_Length_[m],Shallow_Concentrated_Flow_Slope_[m/m],Shallow_Concentrated_Flow_Length_[m],Concentrated_Flow_Slope_[m/m],Concentrated_Flow_Length_[m],LS_Factor,Aspect_Correlation,Orphan_Raster_Code_[T/F]
5873,587,1,1.6600,188.72,348.87,0.06391,0.04640,50.00,0.05468,45.36,0.00001,0.00,0.912,0.8899,F
5881,588,0,13.7200,196.68,92.39,0.02560,0.01097,50.00,0.03177,50.00,0.01295,429.56,0.347,0.4966,F
5882,588,1,33.3300,191.21,155.93,0.03970,0.01228,50.00,0.02044,50.00,0.01261,338.85,0.564,0.3383,F
5883,588,1,74.5100,194.82,249.44,0.02913,0.00931,50.00,0.00669,50.00,0.00980,714.83,0.423,0.4649,F
5892,589,1,0.5500,178.76,139.44,0.02814,0.00717,50.00,0.03184,23.28,0.00001,0.00,0.378,0.5931,F
5893,589,1,0.1800,178.74,282.68,0.03348,0.02427,39.14,0.00001,0.00,0.00001,0.00,0.574,0.8025,F
5902,590,1,3.9700,180.40,116.70,0.03119,0.04200,50.00,0.01083,50.00,0.01265,202.28,0.432,0.5504,F
5903,590,1,2.8300,180.13,295.20,0.02027,0.00600,50.00,0.00001,50.00,0.01661,138.49,0.322,0.4421,F
5912,591,1,7.9900,180.89,97.97,0.00695,0.03469,50.00,0.00732,50.00,0.00510,451.27,0.121,0.4349,F
5913,591,1,0.6000,179.97,290.06,0.01342,0.00824,50.00,0.00425,50.00,0.00988,17.78,0.192,0.7726,F
5921,592,0,10.5300,181.90,128.25,0.00405,0.00200,50.00,0.00400,50.00,0.00095,530.27,0.078,0.3468,F
5922,592,1,4.9200,181.13,108.65,0.00636,0.01497,50.00,0.00702,50.00,0.00171,176.42,0.104,0.5812,F
5923,592,1,5.4200,181.24,191.57,0.01063,0.01551,50.00,0.00380,50.00,0.00936,99.85,0.152,0.7457,F
5932,593,1,1.5700,180.73,142.91,0.01250,0.00400,50.00,0.00766,50.00,0.01244,41.57,0.192,0.6127,F
5933,593,1,6.4200,180.93,240.16,0.00979,0.00400,50.00,0.00400,50.00,0.00446,381.27,0.156,0.4567,F
5941,594,0,10.0000,181.78,156.97,0.00296,0.00283,50.00,0.00118,50.00,0.00064,476.48,0.067,0.3154,F
5942,594,1,2.7300,181.61,63.46,0.00430,0.00400,50.00,0.00001,50.00,0.00190,105.71,0.078,0.5355,F
5943,594,1,10.0800,181.74,189.03,0.00464,0.00200,50.00,0.00200,50.00,0.00083,302.99,0.090,0.3112,F
