Cell_ID,Soil_ID,Mgmt_Field_ID,Reach_ID,Reach_Location_Code,Cell_Area,Time_of_Conc,Avg_Elevation,RCN_Calib_ID,Avg_Land_Slope,Aspect,RUSLE_ls_Fctr,RCN_Rtn_Calib_Fctr,Secondary_Climate_File_ID,Sheet_Flow_Mannings_n,Geology_ID,Conc_Flow_Slope,Conc_Flow_Length,Hydraulic_Geom_ID,Conc_Flow_Hydraulic_Depth,Conc_Flow_Mannings_n,Sheet_Flow_Slope,Sheet_Flow_Length,Shallow_Conc_Flow_Slope,Shallow_Conc_Flow_Length,Delivery_Ratio,Constant_USLE_C_Fctr,Constant_USLE_P_Fctr,All_OC_Calib_Fctr,All_N_Calib_Fctr,All_P_Calib_Fctr,Sheet_and_Rill_Erosion_Calib_Fctr,Gullies_Erosion_Calib_Fctr,Input_Units_Code
4153,,,415,1,39.2500,,174.94,,0.00558,241.75,0.099,,,,,0.00429,579.20,,,,0.00001,50.00,0.00035,50.00,,,,,,,,,1
4162,,,416,1,14.6200,,172.76,,0.02073,82.84,0.281,,,,,0.00942,472.70,,,,0.00400,50.00,0.00001,50.00,,,,,,,,,1
4163,,,416,1,3.7000,,172.29,,0.02973,223.22,0.406,,,,,0.00080,53.99,,,,0.04000,50.00,0.00001,50.00,,,,,,,,,1
4171,,,417,0,11.3800,,175.49,,0.00678,188.14,0.109,,,,,0.00108,571.99,,,,0.00951,50.00,0.00439,50.00,,,,,,,,,1
4172,,,417,1,17.5600,,174.81,,0.00494,71.44,0.090,,,,,0.00221,292.63,,,,0.00342,50.00,0.00366,50.00,,,,,,,,,1
4173,,,417,1,17.3300,,174.92,,0.00826,207.96,0.130,,,,,0.00152,462.70,,,,0.00883,50.00,0.00318,50.00,,,,,,,,,1
4182,,,418,1,38.0400,,175.20,,0.00854,70.93,0.130,,,,,0.00242,427.84,,,,0.00951,50.00,0.00780,50.00,,,,,,,,,1
4183,,,418,1,49.4700,,175.26,,0.00575,224.06,0.101,,,,,0.00064,785.18,,,,0.00400,50.00,0.00400,50.00,,,,,,,,,1
4192,,,419,1,15.1200,,175.67,,0.00847,73.80,0.128,,,,,0.00215,301.27,,,,0.00483,50.00,0.00425,50.00,,,,,,,,,1
4193,,,419,1,15.9300,,175.58,,0.00484,237.05,0.089,,,,,0.00139,359.91,,,,0.00517,50.00,0.00283,50.00,,,,,,,,,1
4202,,,420,1,28.9300,,176.13,,0.00946,84.67,0.141,,,,,0.00236,594.41,,,,0.01214,50.00,0.00586,50.00,,,,,,,,,1
4203,,,420,1,16.4900,,175.92,,0.00584,224.50,0.103,,,,,0.00148,679.56,,,,0.00400,50.00,0.00201,50.00,,,,,,,,,1
4212,,,421,1,0.5500,,175.97,,0.00451,57.17,0.077,,,,,0.00001,0.00,,,,0.00199,50.00,0.00001,19.50,,,,,,,,,1
4213,,,421,1,1.2500,,176.04,,0.00635,229.22,0.102,,,,,0.00001,55.71,,,,0.00507,50.00,0.00292,50.00,,,,,,,,,1
4222,,,422,1,17.9600,,176.86,,0.01602,60.14,0.213,,,,,0.00132,533.41,,,,0.02199,50.00,0.00001,50.00,,,,,,,,,1
4223,,,422,1,9.7600,,176.54,,0.01113,218.44,0.151,,,,,0.00312,224.35,,,,0.01000,50.00,0.00001,50.00,,,,,,,,,1
4231,,,423,0,10.0000,,177.21,,0.01368,90.19,0.186,,,,,0.00061,829.33,,,,0.02566,50.00,0.00834,50.00,,,,,,,,,1
4232,,,423,1,1.5100,,176.91,,0.01515,63.82,0.206,,,,,0.00001,56.07,,,,0.01400,50.00,0.00600,50.00,,,,,,,,,1
4233,,,423,1,1.0000,,176.72,,0.00799,243.06,0.120,,,,,0.00001,0.00,,,,0.00400,50.00,0.00001,33.28,,,,,,,,,1
4242,,,424,1,39.2700,,177.08,,0.00931,81.14,0.132,,,,,0.00116,608.20,,,,0.00917,50.00,0.00483,50.00,,,,,,,,,1
4243,,,424,1,40.3400,,177.10,,0.00812,219.02,0.124,,,,,0.00057,532.34,,,,0.01234,50.00,0.00166,50.00,,,,,,,,,1
4251,,,425,0,11.5700,,177.75,,0.00967,99.44,0.145,,,,,0.00095,633.41,,,,0.00400,50.00,0.00200,50.00,,,,,,,,,1
4252,,,425,1,20.9400,,178.00,,0.00924,43.28,0.135,,,,,0.00243,742.05,,,,0.01000,50.00,0.00601,50.00,,,,,,,,,1
4253,,,425,1,2.0400,,177.16,,0.00592,220.04,0.097,,,,,0.00307,47.78,,,,0.00435,50.00,0.00273,50.00,,,,,,,,,1
4261,,,426,0,12.3300,,177.39,,0.00447,156.13,0.085,,,,,0.00081,500.27,,,,0.00200,50.00,0.00001,50.00,,,,,,,,,1
4262,,,426,1,7.6600,,177.20,,0.00830,98.69,0.124,,,,,0.00001,240.92,,,,0.01117,50.00,0.00479,50.00,,,,,,,,,1
4263,,,426,1,11.2000,,177.26,,0.00599,252.63,0.104,,,,,0.00044,230.92,,,,0.00800,50.00,0.00001,50.00,,,,,,,,,1
4271,,,427,0,12.3900,,176.81,,0.00973,177.52,0.142,,,,,0.00087,634.77,,,,0.01000,50.00,0.00308,50.00,,,,,,,,,1
4272,,,427,1,12.5000,,176.54,,0.00970,90.21,0.135,,,,,0.00103,487.84,,,,0.00400,50.00,0.00200,50.00,,,,,,,,,1
4273,,,427,1,15.0600,,176.54,,0.00960,237.09,0.135,,,,,0.00084,659.26,,,,0.00400,50.00,0.01103,50.00,,,,,,,,,1
4281,,,428,0,11.0100,,176.62,,0.01711,236.68,0.194,,,,,0.00122,496.42,,,,0.00400,50.00,0.00200,50.00,,,,,,,,,1
4282,,,428,1,0.9800,,176.15,,0.00613,121.53,0.090,,,,,0.00001,3.64,,,,0.01000,50.00,0.00001,50.00,,,,,,,,,1
4283,,,428,1,4.7800,,176.35,,0.00691,249.15,0.110,,,,,0.00120,251.27,,,,0.00108,50.00,0.00493,50.00,,,,,,,,,1
