Soil_ID,Layer_Number,Layer_Depth,Bulk_Density,Clay_Ratio,Silt_Ratio,Sand_Ratio,Rock_Ratio,Very_Fine_Sand_Ratio,CaCO3_Content,Saturated_Conductivity,Field_Capacity,Wilting_Point,Volcanic_Code,Base_Saturation,Unstable_Aggregate_Ratio,pH,Organic_Matter_Ratio,Organic_N_Ratio,Inorganic_N_Ratio,Organic_P_Ratio,Inorganic_P_Ratio,Soil_Structure_Code,Input_Units_Code
CaA,     4, 1020.0000,    1.5200,    0.2100,    0.6770,    0.1130,,    0.0660,    0.0000,    3.3120,    0.2790,    0.1250,,,,    5.3000,    0.0025,,,,,,1
CaA,     5, 1650.0000,    1.5700,    0.2400,    0.6670,    0.0930,,    0.0650,    0.0000,    3.3120,    0.2940,    0.1450,,,,    6.5000,    0.0010,,,,,,1
CaA,     6, 1830.0000,    1.6200,    0.2000,    0.6860,    0.1140,,    0.0660,    0.0000,   10.1520,    0.2810,    0.1280,,,,    5.7000,    0.0025,,,,,,1
CaB,     1,  430.0000,    1.5500,    0.1850,    0.6980,    0.1170,,    0.0670,    0.0000,   10.1520,    0.2910,    0.1400,,,,    4.8000,    0.0225,,,,,,1
CaB,     2,  640.0000,    1.5500,    0.2000,    0.6860,    0.1140,,    0.0660,    0.0000,   33.0120,    0.2870,    0.1350,,,,    5.3000,    0.0125,,,,,,1
CaB,     3,  760.0000,    1.7100,    0.2850,    0.6440,    0.0710,,    0.0290,    0.0000,    3.3120,    0.3180,    0.1810,,,,    4.6000,    0.0075,,,,,,1
CaB,     4, 1630.0000,    1.5200,    0.2100,    0.6770,    0.1130,,    0.0660,    0.0000,    3.3120,    0.2790,    0.1250,,,,    5.3000,    0.0025,,,,,,1
CaB,     5, 1730.0000,    1.5700,    0.2400,    0.6670,    0.0930,,    0.0650,    0.0000,    3.3120,    0.2940,    0.1450,,,,    6.5000,    0.0010,,,,,,1
CaB,     6, 1830.0000,    1.6200,    0.2000,    0.6860,    0.1140,,    0.0660,    0.0000,   10.1520,    0.2810,    0.1280,,,,    5.7000,    0.0025,,,,,,1
Cm,     1,  200.0000,    1.5200,    0.1150,    0.6770,    0.2080,,    0.1340,    0.0000,   33.0120,    0.2420,    0.0840,,,,    5.0000,    0.0125,,,,,,1
Cm,     2,  430.0000,    1.5500,    0.1850,    0.6980,    0.1170,,    0.0670,    0.0000,   10.1520,    0.2910,    0.1400,,,,    4.8000,    0.0225,,,,,,1
Cm,     3,  760.0000,    1.7100,    0.2850,    0.6440,    0.0710,,    0.0290,    0.0000,    3.3120,    0.3180,    0.1810,,,,    4.6000,    0.0075,,,,,,1
Cm,     4, 1570.0000,    1.5200,    0.1150,    0.6770,    0.2080,,    0.1340,    0.0000,   33.0120,    0.2260,    0.0690,,,,    5.0000,    0.0015,,,,,,1
Cm,     5, 1830.0000,    1.6200,    0.2000,    0.6860,    0.1140,,    0.0660,    0.0000,   10.1520,    0.2810,    0.1280,,,,    5.7000,    0.0025,,,,,,1
Co,     1,  200.0000,    1.5200,    0.1150,    0.6770,    0.2080,,    0.1340,    0.0000,   33.0120,    0.2420,    0.0840,,,,    5.0000,    0.0125,,,,,,1
Co,     2,  430.0000,    1.5500,    0.1850,    0.6980,    0.1170,,    0.0670,    0.0000,   10.1520,    0.2910,    0.1400,,,,    4.8000,    0.0225,,,,,,1
Co,     3,  760.0000,    1.7100,    0.2850,    0.6440,    0.0710,,    0.0290,    0.0000,    3.3120,    0.3180,    0.1810,,,,    4.6000,    0.0075,,,,,,1
Co,     4, 1570.0000,    1.5200,    0.1150,    0.6770,    0.2080,,    0.1340,    0.0000,   33.0120,    0.2260,    0.0690,,,,    5.0000,    0.0015,,,,,,1
Co,     5, 1830.0000,    1.6200,    0.2000,    0.6860,    0.1140,,    0.0660,    0.0000,   10.1520,    0.2810,    0.1280,,,,    5.7000,    0.0025,,,,,,1
CpF2,     1,  130.0000,    1.5200,    0.1200,    0.6730,    0.2070,,    0.1330,    0.0000,   33.0120,    0.2550,    0.0970,,,,    5.0000,    0.0200,,,,,,1
CpF2,     2,  180.0000,    1.4100,    0.0850,    0.6990,    0.2160,,    0.1380,    0.0000,   33.0120,    0.2260,    0.0690,,,,    5.3000,    0.0175,,,,,,1
CpF2,     3,  200.0000,    1.3700,    0.0850,    0.2690,    0.6460,    0.1300,    0.1740,    0.0000,  101.6280,    0.1410,    0.0570,,,,    5.5000,    0.0125,,,,,,1
CpF2,     4,  580.0000,    1.5200,    0.2400,    0.6840,    0.0760,,    0.0530,    0.0000,   33.0120,    0.2920,    0.1420,,,,    5.3000,    0.0025,,,,,,1
CpF2,     5,  740.0000,    1.5700,    0.4750,    0.1090,    0.4160,    0.1300,    0.1000,    0.0000,   10.1520,    0.3460,    0.2270,,,,    4.6000,    0.0055,,,,,,1
CpF2,     6,  860.0000,    1.7200,    0.3300,    0.1400,    0.5300,    0.1200,    0.0970,    0.0000,   10.1520,    0.2420,    0.1840,,,,    4.6000,    0.0020,,,,,,1
CpF2,     7,  970.0000,    1.5700,    0.2500,    0.6590,    0.0910,,    0.0640,    0.0000,   10.1520,    0.2990,    0.1530,,,,    5.3000,    0.0020,,,,,,1
CpF2,     8, 1350.0000,    1.5700,    0.2100,    0.4210,    0.3690,    0.0200,    0.2840,    0.0000,   10.1520,    0.2770,    0.1260,,,,    5.3000,    0.0015,,,,,,1
CpF2,     9, 1520.0000,    1.5700,    0.1850,    0.1500,    0.6650,    0.0200,    0.0970,    0.0000,   33.0120,    0.2080,    0.1160,,,,    5.3000,    0.0010,,,,,,1
Do,     1,  180.0000,    1.8000,    0.5000,    0.4820,    0.0180,,    0.0080,    0.0000,    0.7560,    0.3490,    0.3020,,,,    5.0000,    0.0250,,,,,,1
Do,     2,  740.0000,    1.9000,    0.7500,    0.2320,    0.0180,,    0.0060,    0.0000,    0.7560,    0.4330,    0.4050,,,,    5.0000,    0.0025,,,,,,1
Do,     3, 1930.0000,    1.8500,    0.6750,    0.3070,    0.0180,,    0.0050,    0.0000,    0.7560,    0.4220,    0.3650,,,,    6.5000,    0.0025,,,,,,1
Do,     4, 2130.0000,    1.7100,    0.2900,    0.5210,    0.1890,,    0.1150,    0.0000,   10.1520,    0.3160,    0.1770,,,,    7.5000,    0.0025,,,,,,1
Fa,     1,  130.0000,    1.5200,    0.1200,    0.6730,    0.2070,,    0.1330,    0.0000,   33.0120,    0.2550,    0.0970,,,,    5.0000,    0.0200,,,,,,1
Fa,     2, 1270.0000,    1.4100,    0.1200,    0.6730,    0.2070,,    0.1330,    0.0000,   33.0120,    0.2460,    0.0870,,,,    5.0000,    0.0175,,,,,,1
Fa,     3, 1520.0000,    1.5500,    0.1400,    0.7180,    0.1420,,    0.0860,    0.0000,   33.0120,    0.1820,    0.0850,,,,    5.0000,    0.0015,,,,,,1
Fa,     4, 1650.0000,    1.4400,    0.1900,    0.6940,    0.1160,,    0.0670,    0.0000,   26.1720,    0.2640,    0.1070,,,,    5.0000,    0.0020,,,,,,1
Fl,     1,  130.0000,    1.5200,    0.1200,    0.6730,    0.2070,,    0.1330,    0.0000,   33.0120,    0.2550,    0.0970,,,,    5.0000,    0.0200,,,,,,1
Fl,     2, 1270.0000,    1.4100,    0.1200,    0.6730,    0.2070,,    0.1330,    0.0000,   33.0120,    0.2460,    0.0870,,,,    5.0000,    0.0175,,,,,,1
Fl,     3, 1520.0000,    1.5500,    0.1400,    0.7180,    0.1420,,    0.0860,    0.0000,   33.0120,    0.1820,    0.0850,,,,    5.0000,    0.0015,,,,,,1
Fl,     4, 1650.0000,    1.4400,    0.1900,    0.6940,    0.1160,,    0.0670,    0.0000,   26.1720,    0.2640,    0.1070,,,,    5.0000,    0.0020,,,,,,1
Fs,     1,  130.0000,    1.5200,    0.1200,    0.6730,    0.2070,,    0.1330,    0.0000,   33.0120,    0.2550,    0.0970,,,,    5.0000,    0.0200,,,,,,1
Fs,     2,  150.0000,    1.6500,    0.3150,    0.6170,    0.0680,,    0.0460,    0.0000,   33.0120,    0.3340,    0.2080,,,,    5.0000,    0.0200,,,,,,1
Fs,     3, 1400.0000,    1.5700,    0.2750,    0.6540,    0.0710,,    0.0290,    0.0000,   33.0120,    0.3100,    0.1680,,,,    5.0000,    0.0025,,,,,,1
Fs,     4, 1520.0000,    1.5500,    0.1400,    0.7180,    0.1420,,    0.0860,    0.0000,   33.0120,    0.1820,    0.0850,,,,    5.0000,    0.0015,,,,,,1
Fw,     1,  130.0000,    1.5200,    0.1200,    0.6730,    0.2070,,    0.1330,    0.0000,   33.0120,    0.2550,    0.0970,,,,    5.0000,    0.0200,,,,,,1
