Soil_ID,Layer_Number,Layer_Depth,Bulk_Density,Clay_Ratio,Silt_Ratio,Sand_Ratio,Rock_Ratio,Very_Fine_Sand_Ratio,CaCO3_Content,Saturated_Conductivity,Field_Capacity,Wilting_Point,Volcanic_Code,Base_Saturation,Unstable_Aggregate_Ratio,pH,Organic_Matter_Ratio,Organic_N_Ratio,Inorganic_N_Ratio,Organic_P_Ratio,Inorganic_P_Ratio,Soil_Structure_Code,Input_Units_Code
Blg2A1,     6,  860.0000,    1.8300,    0.4200,    0.4200,    0.1600,    0.0400,    0.0400,    0.0000,   10.1520,    0.3100,    0.2400,,,,    6.4000,    0.0125,,,,,,1
Blg2A1,     7,  910.0000,    2.0200,    0.3600,    0.4000,    0.2400,    0.0800,    0.0700,    0.1200,    3.3120,    0.2700,    0.2600,,,,    7.3000,    0.0050,,,,,,1
Blg2A1,     8,  940.0000,    2.0000,    0.3500,    0.4000,    0.2500,    0.0600,    0.0700,    0.1200,    3.3120,    0.2500,    0.2300,,,,    7.6000,    0.0025,,,,,,1
Blg2A1,     9, 1320.0000,    2.0000,    0.3500,    0.4000,    0.2500,    0.0600,    0.0700,    0.1200,    3.3120,    0.2500,    0.2300,,,,    7.0000,    0.0025,,,,,,1
Blg2A1,    10, 1450.0000,    1.8300,    0.4200,    0.3800,    0.2000,    0.0400,    0.0500,    0.0000,   10.1520,    0.3200,    0.2400,,,,    7.0000,    0.0100,,,,,,1
Blg2A1,    11, 2000.0000,    2.0500,    0.3300,    0.4500,    0.2200,    0.0700,    0.0600,    0.2400,    2.6640,    0.2200,    0.2000,,,,    8.0000,    0.0025,,,,,,1
BoB2,     1,  150.0000,    1.5000,    0.2400,    0.5400,    0.2200,    0.0500,    0.0600,    0.0000,   33.0120,    0.3000,    0.1700,,,,    6.4000,    0.0200,,,,,,1
BoB2,     2,  230.0000,    1.5800,    0.2400,    0.5400,    0.2200,    0.0300,    0.0600,    0.0000,   10.1520,    0.2900,    0.1500,,,,    6.2000,    0.0150,,,,,,1
BoB2,     3,  280.0000,    1.6600,    0.3500,    0.5000,    0.1500,    0.0200,    0.0500,    0.0000,   33.0120,    0.3500,    0.2500,,,,    6.4000,    0.0500,,,,,,1
BoB2,     4,  610.0000,    1.8000,    0.4200,    0.4200,    0.1600,    0.0400,    0.0500,    0.0000,    3.3120,    0.3000,    0.2200,,,,    6.5000,    0.0050,,,,,,1
BoB2,     5,  740.0000,    1.8200,    0.4200,    0.3600,    0.2200,    0.0500,    0.0700,    0.0000,    3.3120,    0.3200,    0.2300,,,,    6.2000,    0.0075,,,,,,1
BoB2,     6,  760.0000,    2.0000,    0.3500,    0.4000,    0.2500,    0.0600,    0.0700,    0.1200,    3.3120,    0.2500,    0.2300,,,,    7.6000,    0.0025,,,,,,1
BoB2,     7,  860.0000,    1.8300,    0.4200,    0.4200,    0.1600,    0.0400,    0.0400,    0.0000,   10.1520,    0.3100,    0.2400,,,,    6.4000,    0.0125,,,,,,1
BoB2,     8,  910.0000,    2.0200,    0.3600,    0.4000,    0.2400,    0.0800,    0.0700,    0.1200,    3.3120,    0.2700,    0.2600,,,,    7.3000,    0.0050,,,,,,1
BoB2,     9, 1450.0000,    1.8300,    0.4200,    0.3800,    0.2000,    0.0400,    0.0500,    0.0000,   10.1520,    0.3200,    0.2400,,,,    7.0000,    0.0125,,,,,,1
BoB2,    10, 2000.0000,    2.0500,    0.3300,    0.4500,    0.2200,    0.0700,    0.0600,    0.2400,    2.6640,    0.2200,    0.2000,,,,    8.0000,    0.0025,,,,,,1
BuUXA,     1,  230.0000,    1.5800,    0.2400,    0.5400,    0.2200,    0.0300,    0.0600,    0.0000,   10.1520,    0.2900,    0.1500,,,,    6.2000,    0.0150,,,,,,1
BuUXA,     2,  250.0000,    1.5000,    0.2200,    0.5600,    0.2200,    0.0300,    0.0600,    0.0000,   33.0120,    0.3000,    0.1700,,,,    6.4000,    0.0250,,,,,,1
BuUXA,     3,  280.0000,    1.6600,    0.3500,    0.5000,    0.1500,    0.0200,    0.0500,    0.0000,   33.0120,    0.3500,    0.2500,,,,    6.4000,    0.0500,,,,,,1
BuUXA,     4,  740.0000,    1.8200,    0.4200,    0.3600,    0.2200,    0.0500,    0.0700,    0.0000,    3.3120,    0.3200,    0.2300,,,,    6.2000,    0.0075,,,,,,1
BuUXA,     5,  830.0000,    1.8000,    0.4200,    0.4200,    0.1600,    0.0400,    0.0500,    0.0000,    3.3120,    0.3000,    0.2200,,,,    6.5000,    0.0050,,,,,,1
BuUXA,     6,  860.0000,    1.8300,    0.4200,    0.4200,    0.1600,    0.0400,    0.0400,    0.0000,   10.1520,    0.3100,    0.2400,,,,    6.4000,    0.0125,,,,,,1
BuUXA,     7,  910.0000,    2.0200,    0.3600,    0.4000,    0.2400,    0.0800,    0.0700,    0.1200,    3.3120,    0.2700,    0.2600,,,,    7.3000,    0.0050,,,,,,1
BuUXA,     8,  990.0000,    2.0000,    0.3500,    0.4000,    0.2500,    0.0600,    0.0700,    0.1200,    3.3120,    0.2500,    0.2300,,,,    7.6000,    0.0025,,,,,,1
BuUXA,     9, 1450.0000,    1.8300,    0.4200,    0.3800,    0.2000,    0.0400,    0.0500,    0.0000,   10.1520,    0.3200,    0.2400,,,,    7.0000,    0.0125,,,,,,1
BuUXA,    10, 2000.0000,    2.0500,    0.3300,    0.4500,    0.2200,    0.0700,    0.0600,    0.2400,    2.6640,    0.2200,    0.2000,,,,    8.0000,    0.0025,,,,,,1
Ca,     1,  250.0000,    0.8000,  999.0000,  999.0000,  999.0000,    0.0500,,    0.0000,   78.1200,    0.5330,    0.1780,,,,,    0.7000,,,,,,1
Ca,     2,  280.0000,    1.6600,    0.3500,    0.5000,    0.1500,    0.0200,    0.0500,    0.0000,   33.0120,    0.3480,    0.1800,,,,    6.4000,    0.0400,,,,,,1
Ca,     3,  300.0000,    1.6600,    0.3350,    0.4900,    0.1750,    0.0200,    0.1060,    0.0000,   33.0120,    0.3610,    0.2660,,,,,    0.0600,,,,,,1
Ca,     4,  640.0000,    0.7500,  999.0000,  999.0000,  999.0000,    0.0500,,    0.0000,   78.1200,    0.5370,    0.1170,,,,,    0.6500,,,,,,1
Ca,     5,  860.0000,    1.8300,    0.4200,    0.4200,    0.1600,    0.0400,    0.0400,    0.0000,   10.1520,    0.3110,    0.2420,,,,    6.9000,    0.0150,,,,,,1
Ca,     6,  900.0000,    0.7500,  999.0000,  999.0000,  999.0000,    0.1400,,    0.0000,   78.1200,    0.5570,    0.1420,,,,,    0.8500,,,,,,1
Ca,     7, 1200.0000,    1.8900,    0.4200,    0.4200,    0.1600,    0.0400,    0.0400,    0.0000,   10.1520,    0.2910,    0.2060,,,,    7.2000,    0.0100,,,,,,1
Ca,     8, 1450.0000,    1.9000,    0.3500,    0.4400,    0.2100,    0.0700,    0.0600,    0.1500,   10.1520,    0.3040,    0.2310,,,,    7.4000,    0.0075,,,,,,1
Ca,     9, 1520.0000, -999.0000,  999.0000,  999.0000,    0.0000,,    0.0000,    0.0000,   78.7680, -999.0000, -999.0000,,,,,,,,,,,1
Ca,    10, 2000.0000,    1.9000,    0.3300,    0.4400,    0.2300,    0.0700,    0.0600,    0.2300,   10.1520,    0.3160,    0.2150,,,,    7.8000,    0.0050,,,,,,1
Cb,     1,  250.0000,    0.8000,  999.0000,  999.0000,  999.0000,    0.0500,,    0.0000,   78.1200,    0.5330,    0.1780,,,,,    0.7000,,,,,,1
Cb,     2,  280.0000,    1.6600,    0.3500,    0.5000,    0.1500,    0.0200,    0.0500,    0.0000,   33.0120,    0.3480,    0.1800,,,,    6.4000,    0.0400,,,,,,1
